subject,regression_coef,value
66,X2mo,0.06437566909477516
66,X3mo,0.05038584143560515
67,X1o,-0.0299350293019793
67,X2o,0.0838765704487186
67,X3o,0.133286534515103
67,X1mo,0.0103723051920649
67,X2mo,-0.0268672264390549
67,X3mo,-0.00267318006508517
68,X1o,1.1487758133453
68,X2o,-0.016067132950507504
68,X3o,0.004277662140984599
68,X1mo,0.0673480292945962
68,X2mo,0.002131602879557999
68,X3mo,-0.0313435681719876
69,X1o,0.027433687323202553
69,X2o,-0.004947079915164621
69,X3o,0.01628680728269234
69,X1mo,-0.002444024473616255
69,X2mo,-0.0020780683443488296
69,X3mo,-1.992474744008514e-4
70,X1o,0.06314564071864705
70,X2o,0.0490032494677959
70,X3o,0.118586901144469
70,X1mo,0.0266136790556466
70,X2mo,0.020456821591430675
70,X3mo,-0.006399682552063625
71,X1o,0.17543700549984548
71,X2o,0.13715437666098856
71,X3o,-0.0450327197286982
71,X1mo,0.01063898096706105
71,X2mo,0.02190399157253
71,X3mo,0.00915001505973749
72,X1o,0.2738079643409645
72,X2o,0.06997646257004406
72,X3o,-0.02265949049691655
72,X1mo,-0.003978254880538448
72,X2mo,0.01090729508186616
72,X3mo,0.009936559913279075
73,X1o,1.063965311115916
73,X2o,0.244183169704984
73,X3o,0.07620320893210364
73,X1mo,0.2035547736548741
73,X2mo,0.00419630802426906
73,X3mo,-0.008352296030557082
74,X1o,0.012984896954118702
74,X2o,0.013002288028101855
74,X3o,0.04938683933611273
74,X1mo,0.006437148535735625
74,X2mo,0.025509631094254852
74,X3mo,0.010660519361428016
75,X1o,0.149686047982732
75,X2o,-0.025491393603623645
75,X3o,0.0054409861148963495
75,X1mo,-0.01123304482836685
75,X2mo,-0.00735342162616718
75,X3mo,-0.0114207156573833
76,X1o,0.06406400812281765
76,X2o,0.01912513597088928
76,X3o,-0.02982050845589915
76,X1mo,0.00767657861059913
76,X2mo,0.00145583616699723
76,X3mo,0.011348805984583451
77,X1o,0.2332488811900005
77,X2o,0.0522476245386021
77,X3o,0.03575906665929836
77,X1mo,0.04133818915335343
77,X2mo,0.0267025382393005
77,X3mo,0.0016676952315238525
78,X1o,0.0866782339204843
78,X2o,-0.0167382637835925
78,X3o,-0.0074589474310205045
78,X1mo,-0.01736228036848517
78,X2mo,-0.006606128948692696
78,X3mo,0.02449236810402031
79,X1o,0.2458879564735248
79,X2o,0.1129278584153259
79,X3o,0.0077031101676805006
79,X1mo,0.021733959576391456
79,X2mo,-0.0108801367619352
79,X3mo,0.011360492900054451
80,X1o,0.07461732290881054
80,X2o,0.0344812143150038
80,X3o,0.05503398220977505
80,X1mo,-0.05933174065612345
80,X2mo,-0.108010971673855
80,X3mo,0.060673315444214254
81,X1o,0.5261672833074695
81,X2o,0.04833842277621041
81,X3o,0.0577702602491164
81,X1mo,-0.01064292256650395
81,X2mo,-0.0028067558721581003
81,X3mo,-0.04072874010303845
82,X1o,0.45482156733661205
82,X2o,0.16101835503971001
82,X3o,0.1298935163661683
82,X1mo,0.0591818199885723
82,X2mo,0.036336345610138404
82,X3mo,0.00524402925013295
83,X1o,0.04029472394821146
83,X2o,0.0425688955844349
83,X3o,0.06976920652554695
83,X1mo,-0.010745624141490138
83,X2mo,0.010524323283353905
83,X3mo,0.013713498042521026
84,X1o,0.31993159919367703
84,X2o,0.2585527408216615
84,X3o,0.18998128775943676
84,X1mo,-0.04307930259405825
84,X2mo,-0.0593722608265544
84,X3mo,0.016000635921437897
85,X1o,0.049048975310143614
85,X2o,0.07387457393062855
85,X3o,0.0061936674580422
85,X1mo,-0.03240186433142835
85,X2mo,-0.001377778646071805
85,X3mo,0.021463925616033806
86,X1o,0.2669979636671785
86,X2o,0.23226992835397403
86,X3o,0.1555067884178569
86,X1mo,0.008289661513214999
86,X2mo,-0.0088355788864206
86,X3mo,-0.042690679836795774
87,X1o,0.0982413463138428
87,X2o,0.08778893486734475
87,X3o,0.06220046081115685
87,X1mo,0.00894461293888335
87,X2mo,0.01489701127294695
87,X3mo,0.01919574674406287
88,X1o,0.15263087049882354
88,X2o,0.08003819373785175
88,X3o,0.0639013237207549
88,X1mo,0.014393095688222508
88,X2mo,3.3508853469199976e-4
88,X3mo,0.0136007220492681
89,X1o,0.5688012173147395
89,X2o,0.20935392960750798
89,X3o,0.0204263888405356
89,X1mo,0.08103488043308224
89,X2mo,-0.05931295029286865
89,X3mo,0.13068183654002236
90,X1o,0.3319049297373755
