subject,regression_coef,value
58,X2,0.604979631957749
58,X3,0.50722362843504
59,X1,0.514441646900776
59,X2,0.293576541620158
59,X3,0.299679876058939
60,X1,-0.14131340760524
60,X2,-0.0292992108263586
60,X3,0.0347146550134067
61,X1,0.248053423097039
61,X2,0.0959777411756755
61,X3,7.05924853770639e-4
62,X1,1.3237957544909706
62,X2,0.417159147964954
62,X3,-0.14667764827940905
63,X1,NA
63,X2,NA
63,X3,NA
64,X1,0.1332442917529694
64,X2,0.03603749533648515
64,X3,0.0819322269940422
65,X1,-0.0786738873646357
65,X2,0.0943517696647674
65,X3,0.124506534132756
66,X1,0.7229393242825785
66,X2,0.6906364417532975
66,X3,0.8177379576496665
67,X1,NA
67,X2,NA
67,X3,NA
68,X1,2.21607544888161
68,X2,0.0206244570391777
68,X3,-0.0558269802199186
69,X1,-3.10919807968568e-16
69,X2,-9.18055306569364e-16
69,X3,-3.97920075072636e-16
70,X1,0.0218132887967486
70,X2,0.0785255767593109
70,X3,0.137445971117782
71,X1,0.45464917751275
71,X2,0.426521146419746
71,X3,-0.00189469642317332
72,X1,0.390386301400931
72,X2,0.0845380837912373
72,X3,0.0816759728850333
73,X1,2.17744538878397
73,X2,0.241024177286306
73,X3,0.075430713465997
74,X1,-0.0231913022895302
74,X2,0.0255451392611804
74,X3,0.110781774173923
75,X1,0.272932206904119
75,X2,-0.0142288562597328
75,X3,0.0468493862246838
76,X1,0.13152410211916477
76,X2,0.0351638248161608
76,X3,-0.06414762851560579
77,X1,0.215553062235064
77,X2,0.0404155611554918
77,X3,-0.0781643208944965
78,X1,-0.166394227048873
78,X2,-0.420940613586724
78,X3,-0.267649211461022
79,X1,0.42405454225506845
79,X2,0.11903024341764101
79,X3,0.0757360457171479
80,X1,0.224517333139611
80,X2,-0.04126715068933
80,X3,0.204581335603201
81,X1,0.826287569775762
81,X2,0.201697415241769
81,X3,0.203580081802128
82,X1,0.9798387047678185
82,X2,0.317441518882175
82,X3,0.2823539078015645
83,X1,0.04048293442655
83,X2,0.030931873690334
83,X3,0.126813103422458
84,X1,0.4816592123403435
84,X2,0.41769209962263854
84,X3,0.428203247010428
85,X1,-0.00684407681649279
85,X2,0.0172266601811038
85,X3,0.029326565415811
86,X1,0.648588277722594
86,X2,0.554929909643411
86,X3,0.409454300118638
87,X1,0.133010703015674
87,X2,0.185346255721469
87,X3,0.0880386469364044
88,X1,0.120781580769326
88,X2,0.189802931027861
88,X3,0.191845548425871
89,X1,0.915990276656419
89,X2,0.345580918113542
