id,panas_type,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu
23,posminusneg_noCloseResponse,0.674858567454552,-1.94375434756122,-4.20220612199946,0.671324692637557,-2.39507981500333,-4.6374816066901,0.670919974134372,-2.33439698218389,-4.59820960511393,-4.90887180962189,-4.85089546234931,-0.499348391328289,-0.482850741239888,0.671344401865395,-2.80273134374314,-4.66287612689579
24,posminusneg_noCloseResponse,0.590551457874596,-0.874154555834483,-4.06466432664579,0.602841313364075,-0.890513578990289,-4.57452346832181,0.600556636695683,-0.808511881632371,-4.49170453811055,-5.20893055591713,-5.15933392444219,-4.27928759597058,-4.37683658395673,0.606367226586208,-0.882825952849971,-4.59693616352557
25,posminusneg_noCloseResponse,0.599890049009872,-2.36506309160048,-4.12976067465915,0.60540877725778,-2.33060262355989,-4.3951079476371,0.605248115566826,-2.46995403733795,-4.39146592801216,-4.92670780951289,-4.91084119375675,-1.82392405847873,-1.74469232769273,0.605503546247242,-2.4603825523447,-4.36986414688191
26,posminusneg_noCloseResponse,0.537657453331894,-1.98817458326375,-4.40806858855187,0.524472073571683,-1.52189188937743,-4.41936246904157,0.52573886893205,-1.61008384434112,-4.39550179351059,-4.9861283400751,-5.00794598983591,-3.90992393267603,-4.10976532898326,0.507882858446896,-1.2909133628846,-4.0042422793929
27,posminusneg_noCloseResponse,0.703669599409304,-1.53405279630461,-3.53916862498993,0.683454287949693,-1.55861746060957,-4.15343518936831,0.680378338753667,-1.57782638289308,-4.32684951108209,-4.83196410706417,-4.95396394640059,-4.29892876694553,-4.30370590568376,0.671808269723189,-1.47399180095659,-4.59909688683708
28,posminusneg_noCloseResponse,0.727103147013027,-1.22051153014371,-4.31880934774658,0.748735016747765,-1.21416491847407,-3.86436243261008,0.747889923154666,-1.2694626601073,-3.92204540847542,-5.15107075068068,-5.21856936843942,-4.53517711259524,-4.53736464153167,0.732944953354213,-1.19208236536873,-4.16007393941894
29,posminusneg_noCloseResponse,0.563363680711945,-1.83335504983858,-1.89538715830586,0.579567825739944,-1.63730856910552,-1.62990653574204,0.586694662845415,-1.76636407299615,-1.64571169690862,-5.607806601736,-5.6405345734629,-4.23610107694734,-4.22391707468219,0.570390281216606,-1.62358835306382,-1.66942129263156
30,posminusneg_noCloseResponse,0.572826177984454,-1.35390854195178,-2.96003396738454,0.566008204619141,-1.18948969509266,-3.56134808805341,0.56264125169554,-1.11879023599891,-3.50989749208321,-4.59533680845374,-4.69591492340676,-3.95609037613101,-4.10637559218632,0.575448557681392,-1.23896320007595,-3.56713695526807
31,posminusneg_noCloseResponse,0.563569006221042,-1.37129775873409,-3.06863219262862,0.534598767473245,-1.34521009492187,-3.22411178984991,0.548732854073767,-1.33772999498095,-3.15453858072702,-4.71937727690451,-4.7922516155173,-4.45653950053725,-4.42222369707759,0.532084766739784,-1.37034560425143,-3.29134685333741
32,posminusneg_noCloseResponse,0.662953317550128,-1.36151952068619,-4.0245560641837,0.67245084641408,-1.27366497643806,-4.55046325083329,0.677234887718164,-1.30421990336915,-4.30841714133475,-5.3171677489283,-5.32399718768552,-4.60965981236582,-4.56676674663672,0.670439611685276,-1.29907084848118,-4.6043736892851
33,posminusneg_noCloseResponse,0.539801414957277,-1.42939004222726,-4.3558340502221,0.543921506981941,-1.31082758475623,-4.47605276172376,0.543665381436167,-1.32125188894306,-4.47065773796032,-5.22956593504055,-5.2134466048491,-4.61030162680087,-4.58594439177207,0.554051837376245,-1.32981390722471,-4.26454816893202
34,posminusneg_noCloseResponse,0.589491627957221,-1.56252171612508,-3.56396446335088,0.60553149206352,-1.62000938127294,-4.70266633051248,0.605174243567598,-1.56173648414281,-4.6673781106542,-5.2146433357627,-5.17066366685374,-4.20643064837615,-4.19971045451918,0.605376654791813,-1.64840449399544,-4.71284936885189
