subject,regression_coef,value
50,X2_sum,-0.05109538712750009
50,X3_sum,-0.14365900122465697
51,X1_sum,0.740587723924591
51,X2_sum,0.5077377474193685
51,X3_sum,0.2501980747258935
52,X1_sum,0.560055254467608
52,X2_sum,0.1627763652131165
52,X3_sum,0.006406486450298152
53,X1_sum,0.00519034253564955
53,X2_sum,0.0163570507665739
53,X3_sum,-6.356484891017998e-4
54,X1_sum,0.16992081805826376
54,X2_sum,0.08444286469762345
54,X3_sum,0.09276950862374479
55,X1_sum,0.11520044213709571
55,X2_sum,0.06164808047058146
55,X3_sum,0.11384175247618765
56,X1_sum,0.6406559041744481
56,X2_sum,0.24500563755629645
56,X3_sum,-0.054044425328300796
57,X1_sum,0.2412205281616765
57,X2_sum,0.06594293332891785
57,X3_sum,0.00678586066085635
58,X1_sum,1.0141940629266144
58,X2_sum,0.408095744207644
58,X3_sum,0.2999235441385665
59,X1_sum,0.45630242575942503
59,X2_sum,0.2012018210854865
59,X3_sum,0.12868745463782405
60,X1_sum,0.08696185509999231
60,X2_sum,0.023807007300530404
60,X3_sum,0.09718697589183174
61,X1_sum,0.3656362879105125
61,X2_sum,0.148535934812636
61,X3_sum,-0.0358415446018022
62,X1_sum,1.294452653906847
62,X2_sum,0.37312820115949996
62,X3_sum,-0.030878802053903552
63,X1_sum,0.0122073632742915
63,X2_sum,-0.0204319528543216
63,X3_sum,0.0181869205280157
64,X1_sum,0.13509795937159566
64,X2_sum,0.014277662049652699
64,X3_sum,0.0744850679749853
65,X1_sum,0.14898614136588834
65,X2_sum,0.14603760229825866
65,X3_sum,0.0644346804335181
66,X1_sum,0.7185331303853075
66,X2_sum,0.6764046995041231
66,X3_sum,0.7639012754702765
67,X1_sum,0.0227298174896428
67,X2_sum,0.0739958731225108
67,X3_sum,0.158692835548731
68,X1_sum,2.334153466555075
68,X2_sum,0.14570526501612452
68,X3_sum,0.02592197909639085
69,X1_sum,0.054802034886301254
69,X2_sum,-0.012099735302436986
69,X3_sum,0.03039582876211086
70,X1_sum,0.17844545890316516
70,X2_sum,0.161963452342346
70,X3_sum,0.13823635991882066
71,X1_sum,0.3696048961726035
