subject,day1_block1_AR1,day1_block1_LOGSIGMA,day1_block1_SIGMA,day1_block1_LOGVAR,day1_block1_VAR,day1_block1_MEAN,day1_block2_AR1,day1_block2_LOGSIGMA,day1_block2_SIGMA,day1_block2_LOGVAR,day1_block2_VAR,day1_block2_MEAN,day2_block1_AR1,day2_block1_LOGSIGMA,day2_block1_SIGMA,day2_block1_LOGVAR,day2_block1_VAR,day2_block1_MEAN,day2_block2_AR1,day2_block2_LOGSIGMA,day2_block2_SIGMA,day2_block2_LOGVAR,day2_block2_VAR,day2_block2_MEAN
32,0.47284340754135823,0.6662283373242679,1.946880479157572,1.3324566746485358,3.790343600124816,0.5646650208162152,0.270114680282453,0.9143464088657772,2.4951439149078687,1.828692817731555,6.225743156101766,0.532758021135569,0.14648581157328283,1.0154109707219503,2.76049764799976,2.030821941443901,7.620347264612205,0.5390037920002304,0.3875882757888486,1.0883811250144118,2.9694629899880494,2.1767622500288235,8.817710448908766,0.5161492790881819
33,0.5364231595365532,-0.42031333904155393,0.6568409736457848,-0.8406266780831079,0.4314400646599425,0.5136806421573759,0.6369257767007276,0.11227163040273758,1.1188167240112452,0.22454326080547515,1.2517508619272548,0.4892888620326957,0.8918724290354563,-0.8445114512018169,0.4297672692135526,-1.6890229024036338,0.1846999056872742,0.5024117451846044,NA,NA,NA,NA,NA,NA
34,0.5558068129801463,-0.22643517402562824,0.7973710309916043,-0.4528703480512565,0.635800561064614,0.5155255608223531,0.05188768234190716,-3.768194760530226,0.02309371536640844,-7.536389521060452,5.333196894246891e-4,0.501036260067727,0.601930759192334,-0.5278630651259361,0.5898641250524636,-1.055726130251872,0.34793968602390835,0.5179726801799018,0.2917876632029037,-0.8795365592856087,0.41497518352034624,-1.7590731185712174,0.17220440293774503,0.5048248843404749
35,0.7654217671700163,-0.025343944642379823,0.9749745170913828,-0.050687889284759646,0.9505753089775753,0.48507406682820114,0.7138533944349857,0.11694359027372536,1.1240560202096803,0.23388718054745072,1.2635019365696258,0.4618221220391243,0.49134951587550735,0.2017502340164488,1.2235423706804007,0.4035004680328976,1.497055932850215,0.5314633290849767,0.4381539829066099,0.3215026977841031,1.379198726801502,0.6430053955682062,1.902189128010884,0.5732027163986935
36,0.5034039190616251,1.2540937945853416,3.5046609921119387,2.5081875891706837,12.28264866963104,0.5708740581168305,0.25036792380463363,1.3534397271634844,3.870716868258506,2.7068794543269687,14.982449074220938,0.5748569413116896,0.16135613792382308,1.2969312855884565,3.658053903294312,2.5938625711769125,13.381358359406752,0.6252553293568127,0.29336520946270933,1.407158587830485,4.084333625490957,2.81431717566097,16.681781164316103,0.5764048757970517
37,0.25225883474790967,0.3303914555279272,1.3915127372149363,0.6607829110558544,1.9363076978314049,0.5178122141365618,0.3782050172909326,1.2908048430529684,3.635711555700173,2.5816096861059368,13.218398516251773,0.48945513418268777,0.3327337162302932,0.908013972790191,2.4793934974554444,1.816027945580382,6.14739211522434,0.6222577739294056,0.4576503097235413,0.9984709343140236,2.7141285730996696,1.996941868628047,7.366493911316049,0.5540904625282838
38,0.6095678319821896,-0.07248822325789317,0.9300766998692156,-0.14497644651578634,0.8650426676396111,0.5086217996513,0.2786198447593912,-0.5291878074337565,0.5890832244503769,-1.058375614867513,0.3470190453288531,0.4924457733599379,0.14242893910473847,-0.6002535260980065,0.5486725156574628,-1.200507052196013,0.3010415294378888,0.4929696980494728,0.9005133699162305,-0.03344573813067636,0.967107386862325,-0.06689147626135272,0.9352966977236749,0.13363875437280912
39,0.6630441983030815,0.0705079174412607,1.073053065231694,0.1410158348825214,1.1514428808031345,0.6078160223424457,0.5068931924097824,-0.5409990236599713,0.5821663637906883,-1.0819980473199426,0.33891767512927207,0.6935039938038454,0.607234425852051,-0.3392656207050745,0.7122932241308575,-0.678531241410149,0.507361637142732,0.6690780216370268,0.7433724178974588,-0.14089019879622594,0.8685846781051345,-0.2817803975924519,0.7544393430390002,0.6472236134456342
40,0.2517388744395903,1.0162139729177446,2.762715223912592,2.032427945835489,7.632595408438402,0.5052123911356392,0.30585439159229744,0.7768175914443306,2.174540964462241,1.5536351828886612,4.728628406124374,0.5176875639059607,0.3360202874856867,0.7876806062072469,2.198291804364465,1.5753612124144938,4.832486857135978,0.4015736235788508,0.6723271987600944,0.8035205252489822,2.233389809509118,1.6070410504979644,4.988030041219173,0.35526807040216
41,0.4438829900114196,-0.09976305951018644,0.9050518360581432,-0.19952611902037287,0.819118825952216,0.6265592430940718,0.48304324081358935,0.21731024356239664,1.2427295911923906,0.4346204871247933,1.5443768368252062,0.6609302187154608,0.5741853389551766,0.09564019259430778,1.100363073975214,0.1912803851886156,1.2107988945681822,0.6819117775746378,0.6438040559496686,0.22667409837767644,1.2544209834822506,0.4533481967553529,1.573572003800577,0.6637952026269637
42,0.3958604960916378,-0.8410018546870253,0.4312782288021016,-1.6820037093740503,0.18600091063867785,0.5858595252841599,0.2975205396018687,-0.3573931632398424,0.699497426989645,-0.7147863264796848,0.48929665036513376,0.5807153981315905,0.4330322617867796,-0.11548722795412768,0.8909319511881614,-0.23097445590825535,0.7937597416479444,0.558092426161265,0.4543354063459814,-0.28944824550807857,0.7486765392821372,-0.5788964910161571,0.5605165604714775,0.5171259485443622
43,0.3589751051673691,1.269657738079288,3.559634026659236,2.539315476158576,12.670994403750244,0.6388865587367849,0.4671668613214604,1.3316081985457506,3.787128948129319,2.6632163970915013,14.342345669759084,0.6164431200570943,0.4612588860867378,1.27425018510089,3.576019052226443,2.54850037020178,12.787912261886506,0.6271983736022102,0.4156161822379602,1.1382389622570033,3.121266853687949,2.2764779245140065,9.74230677193107,0.6103139456167123
44,0.18032628345030652,0.8840226554613346,2.42061745776654,1.7680453109226693,5.859388876844148,0.5074079452260983,0.3151588201026593,0.9031485733060028,2.467359556316388,1.8062971466120052,6.087863180145802,0.52075416741577,0.2285198931079192,0.6626615699298652,1.9399487785741856,1.3253231398597305,3.7634012634914735,0.4795984367603004,NA,NA,NA,NA,NA,NA
45,0.4800299012395035,0.2255157226751244,1.252968733981871,0.4510314453502488,1.5699306483361324,0.6090914721053096,0.7915157805640125,0.3480887411593224,1.4163579334083098,0.6961774823186447,2.006069795528658,0.7981050577438245,0.6183805419341886,0.03740516081757711,1.038113538573776,0.07481032163515422,1.0776797189701668,0.595248233064949,0.536062340343631,-0.2444700222138524,0.7831194642013121,-0.4889400444277048,0.6132760952109501,0.5946373258734688
46,0.2373155015704587,0.22058920760840767,1.246811144817682,0.44117841521681533,1.5545380308415786,0.4927678725713416,0.4773181230594232,0.4974022551070931,1.644443871640544,0.9948045102141864,2.7041956469761423,0.5065657661063959,0.13344910311206343,-0.5981044654723146,0.5498529140768424,-1.196208930944629,0.3023382271187955,0.5080832620468555,NA,NA,NA,NA,NA,NA
47,0.7329574670808626,-0.0770774386286594,0.9258181567420316,-0.1541548772573188,0.8571392593532132,0.5125130962776406,0.48034896403419786,-0.3227846960668459,0.7241297455676534,-0.6455693921336918,0.5243638884158744,0.5559096924933814,0.6231345105486007,-0.32928543477758443,0.7194376349156031,-0.6585708695551689,0.5175905105329566,0.67656108979593,0.6577504955581418,0.2826965521997161,1.3267025157691767,0.5653931043994322,1.7601395653482628,0.5078467817125427
48,0.26388917531794914,1.464078704177374,4.323558128806412,2.928157408354748,18.693154893168003,0.5105637378314619,0.3733941533752585,1.2310426629982074,3.4247985860702697,2.462085325996415,11.72924535514892,0.5798383600836855,0.35621209004047405,1.0846918101358085,2.9585278899145,2.169383620271617,8.75288727540194,0.5622180887253749,0.4154896537135516,1.1034173817355946,3.01444996812044,2.206834763471189,9.086908610301323,0.5237680749652469
49,0.38731226817502273,-0.2120801560989622,0.8088998567108745,-0.4241603121979244,0.6543189781868733,0.7905507992676953,0.6027063650145827,-0.186163663782394,0.8301377203841347,-0.3723273275647879,0.6891286348045678,0.6865423522934156,0.36561197020139113,0.42514106656349215,1.5298062089473996,0.8502821331269843,2.3403070369340147,0.7101033025898557,0.5896311334697473,0.39536517281619066,1.484926346660466,0.7907303456323813,2.205006255006398,0.6688079011250403
50,0.1399169261342259,0.7506121956503559,2.118296431603968,1.5012243913007115,4.487179772146105,0.4984479720949928,0.760661023584988,1.0553957637967506,2.8731120026393757,2.110791527593501,8.254772579710442,0.2771400169862846,0.17462925556611958,-0.4340692583494732,0.6478673837058229,-0.8681385166989464,0.4197321468698279,0.495735474802209,NA,NA,NA,NA,NA,NA
