subject,PANAS_AR1,PANAS_LOGSIGMA,PANAS_SIGMA,PANAS_LOGVAR,PANAS_VAR,PANAS_MEAN
173,0.4774231772074853,0.7702537123626253,2.160314282701797,1.5405074247252506,4.66695780004538,0.522919176746975
174,0.3745118615883049,0.3676865093454093,1.4443891654868128,0.7353730186908186,2.0862600613756914,0.6269834534657254
175,0.26171169449596016,1.1314101803841452,3.1000250136693546,2.2628203607682904,9.610155085375682,0.4821618180356944
176,0.49304014916574224,0.4039071105816401,1.4976648232823475,0.8078142211632802,2.2429999228973454,0.6650335091195049
177,0.4303845350179079,-0.02430485568735996,0.9759881288687192,-0.04860971137471992,0.952552827692664,0.6265293794996404
178,0.4883185117082828,0.5688777862292977,1.766283790827656,1.1377555724585957,3.1197584297405143,0.6872078192660153
179,0.3248273500079368,-0.1926460495255465,0.8247738515770646,-0.3852920990510931,0.6802519062452658,0.6367012093732075
180,0.5370359555667601,0.6942597017011032,2.0022262804447237,1.3885194034022064,4.008910078103511,0.5797888056454398
181,0.5987615167174606,0.5718573431139097,1.7715543819706052,1.1437146862278194,3.138404928279253,0.48797702971865337
182,0.39711733869697663,0.8088519727712717,2.2453288078671143,1.6177039455425437,5.041501455437957,0.5835901285435773
183,0.2257171711762402,0.4259421513297997,1.5310322043943645,0.8518843026595994,2.3440596108926663,0.5023609649262458
184,0.18583790693127067,0.34652675165328023,1.4141473241032505,0.6930535033065605,1.999812654268384,0.5226470522612795
185,0.06927019367663306,1.4720534178520297,4.358175113752532,2.9441068357040594,18.993690322131894,0.5985454017250964
186,0.23696661136195088,1.0004328558912254,2.7194587074536325,2.000865711782451,7.395455661545381,0.6260858994959391
187,0.4861145383746101,0.8552108397696832,2.3518701960747173,1.7104216795393663,5.531293419184529,0.7410105149382038
188,0.17085955883875462,0.765981758077435,2.15110520323286,1.53196351615487,4.6272535953754845,0.5431665988717829
189,0.4271511799085646,0.03356944267223794,1.0341392546261867,0.06713888534447587,1.069443997958805,0.5661159371069843
190,0.5501813441848012,0.3483009040014567,1.4166584638125064,0.6966018080029134,2.0069212030916104,0.6153094666128929
191,0.5343573762218277,0.9009748779273934,2.462002093107444,1.8019497558547868,6.061454306465436,0.5620833313597126
192,0.3004873521793474,0.512479541164478,1.6694254764570209,1.024959082328956,2.7869814214437505,0.5258934637690543
193,0.6076990804667806,-0.4695815483999792,0.6252638562090064,-0.9391630967999584,0.390954889881357,0.6267528691347183
194,0.22769532455458383,0.4983157035892704,1.6459466726602818,0.9966314071785408,2.709140449241453,0.5298634241761658
195,0.2636310860246143,0.007867117947799096,1.0078981450314068,0.015734235895598192,1.0158586707577508,0.5152984244343342
196,0.6689022823212321,0.517510136075572,1.677844839209398,1.035020272151144,2.815163304461611,0.7721925154723112
197,0.2087171174904077,0.8210029219841257,2.272778114010236,1.6420058439682514,5.165520355523926,0.6369550003156245
198,0.4508284814366405,0.8119054705854382,2.252195392689645,1.6238109411708763,5.072384086852465,0.3848138877752524
199,0.2938017841919462,0.5669982403273133,1.7629670972821498,1.1339964806546263,3.108052986099449,0.5128445196910429
200,0.4006055830552663,-0.19946349180350156,0.8191701266909668,-0.3989269836070031,0.6710396964628945,0.6983567439085308
201,0.444706973684889,1.238538693128074,3.450567440852553,2.477077386256148,11.906415663871735,0.6131187938164193
202,0.4145534603484327,0.05235182975017438,1.0537464166409622,0.10470365950034877,1.1103815105836683,0.6715031016570441
203,0.4179189404120368,-0.1528601371949827,0.8582497506349434,-0.3057202743899654,0.7365926344649425,0.7961937790171877
204,0.2541600028265587,0.5227022609320023,1.6865790741017672,1.045404521864005,2.8445489731979743,0.4737253050845596
205,0.40278524234787566,0.3374635889836555,1.4013885814804627,0.674927177967311,1.963889956303824,0.5034394371184733
206,0.6927669458515395,0.06829386346070432,1.0706798959531598,0.13658772692140864,1.1463554395982691,0.6763846702308641
207,0.2368800335320202,0.4500597987552316,1.5684059714107883,0.9001195975104631,2.4598972911570183,0.5786345668619252
208,0.23173784223586272,0.729078242919784,2.0731687686929026,1.458156485839568,4.298028743483646,0.6909278846108157
209,0.3661092867060178,0.8271947892190381,2.2868945126788507,1.6543895784380762,5.229886512120638,0.42704701558186486
210,0.46858391646086095,0.6104037790212691,1.8411746764204109,1.2208075580425382,3.389924189091804,0.6901823733438125
211,0.3286164827416382,0.4169081192219091,1.5172630992163378,0.8338162384438182,2.3020873122435668,0.5151555498973618
212,0.3030890993973696,0.3873168284042888,1.473023112912082,0.7746336568085775,2.1697970911732,0.528875758797635
213,0.29497791968723536,0.3717658201847624,1.4502933121030084,0.7435316403695248,2.1033506911307143,0.4621651301574928
214,0.5167703534808998,0.7725147970326938,2.1652044626810145,1.5450295940653875,4.688110365213781,0.5502366935618429
215,0.4717773796926162,0.22782971032818525,1.2558714452858115,0.4556594206563705,1.5772130870842735,0.5306807450709456
216,0.5523075394427224,0.27483147727482427,1.316308828224141,0.5496629545496485,1.7326689312608117,0.6295625097309535
217,0.22430290113206097,0.5074090496075185,1.6609820928162642,1.014818099215037,2.758861512656297,0.5598138959713882
218,0.4786622961196547,0.11905717845090869,1.1264343242167287,0.23811435690181737,1.2688542867735983,0.5903645963021638
219,0.599117149741568,0.6195728845636965,1.858134234520441,1.239145769127393,3.452662833496865,0.5053889290718713
220,0.1391719834857474,0.5086627164291875,1.6630657167696246,1.017325432858375,2.765787578294465,0.5294401477541297
221,0.4510414429838645,-0.2168766529673154,0.8050292611517856,-0.4337533059346308,0.6480721113105898,0.6613455122266696
222,0.18325854338876127,0.6063948610353462,1.8338083335427413,1.2127897220706925,3.3628530041708067,0.5933415145686209
223,0.2004945006571567,0.2894254731280194,1.3356598950436591,0.5788509462560388,1.783987355228039,0.7266148288966678
224,0.28322144640599534,-0.1022700865544664,0.9027856884622544,-0.2045401731089328,0.8150219992922664,0.6566933341831754
225,0.3643822001263684,0.5945635569029217,1.8122398327697244,1.1891271138058437,3.2842132114772387,0.565249419634674
226,0.3241410017197106,0.8324788442279154,2.299010571853663,1.6649576884558308,5.285449609494907,0.5909104448631725
227,0.3979188185623447,-0.6089112962910606,0.5439427393081152,-1.2178225925821211,0.2958737036460162,0.3860767582447584
228,0.2623673947079764,0.07730174152781705,1.0803680191115916,0.1546034830556341,1.1671950567191045,0.5839418035499543
229,0.4378086900923674,0.6468713287220005,1.9095570968867668,1.293742657444001,3.646408306270617,0.5796992233074598
