subject,run,mu,s,vmu,kmu,vs,trial_id,day_block,moodrate,max_moodrate,min_moodrate,mu_orig,subj_day_block
71,d2r1,0.605491145935607,-3.14716695707263,-4.55680974895839,-5.02352531197894,-0.0756782061134555,18,day2_block1,6,7,4,6.05491145935607,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.605497538413253,-3.18547346503205,-4.56044310316705,-5.03202850983531,-0.122611618497671,19,day2_block1,6,7,4,6.054975384132531,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.605502260241357,-3.21868776439004,-4.56261007917895,-5.03694391985471,-0.166192681075316,20,day2_block1,6,7,4,6.05502260241357,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.60550581200502,-3.24809707636009,-4.56353512365965,-5.03822900100782,-0.207654391448376,21,day2_block1,6,7,4,6.0550581200502,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.60550852518447,-3.27456424324815,-4.56337720998326,-5.03573320179248,-0.247771885109854,22,day2_block1,6,7,4,6.0550852518447,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.605510623219967,-3.29868800262541,-4.56224747195835,-5.02921465633076,-0.287067782318806,23,day2_block1,4,7,4,6.05510623219967,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.573906734800012,-0.971551296288735,-3.96302015092055,-4.26255302765273,0.0206894077809066,24,day2_block1,4,7,4,5.73906734800012,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.448305159617421,-2.65923853374349,-2.39756439711107,-0.93146016515665,-0.660145346601331,25,day2_block1,6,7,4,4.48305159617421,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.596967042745604,-2.20268036132491,-3.02330408422741,-3.22044859401975,-0.195373392404525,26,day2_block1,5,7,4,5.969670427456039,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.593147156262894,-0.830738071763761,-4.20667871102391,-4.5636215668767,0.109725095716071,27,day2_block1,5,7,4,5.931471562628941,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.585513708851517,-0.795720664329172,-4.0825503351523,-4.26843538393297,0.0521696321434025,28,day2_block1,5,7,4,5.8551370885151695,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.568553354593451,-0.963076031155524,-3.75171998735433,-3.56057385617165,-0.0464514665080318,29,day2_block1,4,7,4,5.68553354593451,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.509400989250717,-1.0013256008875,-2.98182550687882,-2.43601729266379,-0.127888400248642,30,day2_block1,5,7,4,5.09400989250717,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.514445866994491,-1.13493750125907,-3.05927765226443,-2.02591969446227,-0.207808548280499,31,day2_block1,4,7,4,5.14445866994491,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.458531809379311,-1.35381369046915,-2.60942815055572,-1.29440306797258,-0.279715702241836,32,day2_block1,6,7,4,4.58531809379311,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.538804503886986,-1.17157566393171,-2.82565105266386,-2.04656916168811,-0.216343399664223,33,day2_block1,6,7,4,5.38804503886986,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.58859487921285,-2.20914018190934,-3.59895107282757,-3.46936610697361,-0.0379502730230011,34,day2_block1,6,7,4,5.8859487921285005,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.603700301630784,-2.84514450245932,-4.2129291876468,-4.30497738970055,0.0738226451043026,35,day2_block1,5,7,4,6.037003016307841,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.58046049657838,-1.13954540096249,-3.81592917665211,-3.79068569633263,0.0116004213555404,36,day2_block1,5,7,4,5.804604965783799,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.557191322542936,-1.15496970336417,-3.44560639666171,-3.01677028741042,-0.160121921258363,37,day2_block1,6,7,4,5.57191322542936,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.589831322422128,-1.77737097276028,-3.9435668523013,-3.98241725812199,-3.03708743265817e-4,38,day2_block1,7,7,4,5.89831322422128,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.605997532506172,-0.880595024720274,-3.79032798790928,-3.90862094495031,-0.0396578300464028,39,day2_block1,7,7,4,6.05997532506172,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.624036347653606,-0.902058993886296,-3.48568478323188,-3.60684725464979,-0.131298185411167,40,day2_block1,6,7,4,6.240363476536061,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.60728286880922,-1.7710791957,-4.05817648990974,-4.36306197436436,0.00878995452080508,41,day2_block1,6,7,4,6.0728286880921996,5e2f448d3d8aa150310b677b_day2_block1
71,d2r1,0.605552813408888,-2.58466178801855,-4.42490101702495,-4.83778270163009,0.129354093446806,42,NA,NA,NA,NA,6.05552813408888,5e2f448d3d8aa150310b677b_NA
72,d1r1,0.500000000000002,-1.15129254649702,-1.15129254649702,-2.64915868327402,-1.15129254649702,1,day1_block1,4,6,3,5.0000000000000195,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.430756899243654,-1.71455674193429,-1.15129254649702,-2.64915868327402,-1.15129254649702,2,day1_block1,5,6,3,4.30756899243654,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.460420600617562,-0.947616602179988,-1.93938104900565,-2.6403573938987,-0.846114745805233,3,day1_block1,6,6,3,4.6042060061756205,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.535131370082708,-1.08617402262908,-1.93102542886354,-2.76143694385617,-1.04182774400534,4,day1_block1,6,6,3,5.351313700827079,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.578967579281956,-1.53301038750795,-2.27170059224227,-2.51127669229177,-0.366236522990925,5,day1_block1,6,6,3,5.78967579281956,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.594313728707927,-1.89685738843705,-2.79696986722537,-2.40872804295687,0.400930198069584,6,day1_block1,6,6,3,5.94313728707927,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.599173488973108,-2.17413206180909,-3.28107452927445,-2.62120009001684,0.565606693721182,7,day1_block1,6,6,3,5.991734889731079,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.601308620444047,-2.42179316509725,-3.62908159754407,-2.90183535609229,0.408480834447312,8,day1_block1,5,6,3,6.013086204440469,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.584394300205226,-1.21470198042573,-3.5155644289378,-3.51739107697076,0.971472379328907,9,day1_block1,5,6,3,5.84394300205226,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.558919804195747,-1.29913261794941,-3.06056883285309,-3.46369504296302,-0.24754515461441,10,day1_block1,5,6,3,5.58919804195747,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.533058503873646,-1.50986064925984,-2.7224921152576,-3.50503658134913,-1.76391789244049,11,day1_block1,4,6,3,5.3305850387364595,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.453961197082561,-1.65148064401118,-2.01416214013653,-3.98805477619012,-2.13452107657585,12,day1_block1,5,6,3,4.53961197082561,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.496367102397805,-1.51634514097301,-2.4045414203697,-4.30160611080729,-2.83623338512207,13,day1_block1,5,6,3,4.96367102397805,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.502997427578589,-1.57191011626974,-2.58469126473894,-4.45411981714796,-3.32682245044921,14,day1_block1,5,6,3,5.02997427578589,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.505757312731969,-1.59872033748676,-2.73500604458449,-4.51318779305984,-3.60794572323289,15,day1_block1,5,6,3,5.0575731273196904,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.507153179175113,-1.61608369659028,-2.86013697279693,-4.52354192193558,-3.78236195186981,16,day1_block1,5,6,3,5.071531791751131,5e31a1526ef37a1879a94441_day1_block1
72,d1r1,0.507886261854488,-1.63071983099618,-2.96547078342183,-4.50380202947775,-3.89631405776848,17,day1_block1,5,6,3,5.07886261854488,5e31a1526ef37a1879a94441_day1_block1
