subject,run,mean_mu,mean_s,mean_vmu,mean5_mu,mean5_s,mean5_vmu,mean10_mu,mean10_s,mean10_vmu,mean5_kmu,mean10_kmu,mean5_vs,mean10_vs,last_mu,last_s,last_vmu,subj_day_block
180,d2r1,0.577317682953752,-0.881123905689104,-2.04227424916028,0.553094527132684,-0.774255719592195,-1.84354490502576,0.516149718723489,-0.796607613045787,-1.74393624184392,-4.81567610559521,-4.89563496657081,-4.42878866631291,-4.36871124091786,0.596829392597869,-0.809588916310246,-1.7343276003894,5f214c0d5ed0e52b6f80c52c_day2_block1
180,d2r2,0.61239337397984706,-1.52639221476543,-2.33312377790522,0.47524778564052,-1.58696634297014,-0.726375525463327,0.453293378647569,-1.60374129925895,-0.862172089065004,0.450832293013031,0.440166169849907,-4.22661535770151,-4.32320555288115,0.502864507252154,-1.44390465800584,-1.11115512440796,5f214c0d5ed0e52b6f80c52c_day2_block2
181,d1r1,0.528958964753684,-1.16859656601382,-3.13104159298575,0.423885144562236,-1.03064123740618,-3.20357869647021,0.388257408748214,-0.967648955058646,-2.77571412342522,-0.749890245687179,-0.958050376179229,2.239997390189,1.77031836099524,0.481168258531179,-0.885643281223037,-2.5226761259507,5f22d7d3f86e9e01e87bfdcc_day1_block1
181,d1r2,0.617644623944403,-1.11999648334687,-3.84403103156316,0.602469999242354,-0.756420193500188,-4.50159328124862,0.603642011334534,-0.857216731608766,-4.53322737464705,-5.00885154862492,-5.01239468704411,1.66144261793748,1.9128779959607,0.603092556652298,-0.528173215678497,-4.54724749210027,5f22d7d3f86e9e01e87bfdcc_day1_block2
181,d2r1,0.464001280473193,-0.433184494480673,-3.46997569488005,0.438660040853339,-0.00174707976511859,-4.29169277584213,0.443370311279558,0.0710731475305603,-4.204829203353,-5.12237672695555,-5.05029405596465,-3.67370335462247,-3.52835973007847,0.44724694171715,-0.101203591666187,-4.40685619539252,5f22d7d3f86e9e01e87bfdcc_day2_block1
181,d2r2,0.611676059245615,-0.600429339563775,-3.46792994646436,0.611907214845988,-0.3829488247127,-3.84130925528551,0.600438880817662,-0.475231966883095,-3.71088650879959,-5.10960826660756,-5.0793927094724,-3.4510918418453,-3.20817752791044,0.590190783506982,-0.224228863850452,-3.99205692013456,5f22d7d3f86e9e01e87bfdcc_day2_block2
182,d1r1,0.722552232849616,-1.27350859966967,-2.70844225052591,0.74106127512885,-1.37226563901692,-1.7295732273116,0.693488500811898,-1.40128033310315,-1.83286713597268,-4.59180221220289,-4.28122082209408,-4.15901462327984,-4.01704945713112,0.734238454394013,-1.38530728869408,-1.51066228289557,5f233d7f53212b0e22bf055d_day1_block1
182,d1r2,0.738787876597506,-2.00319173309961,-2.34232911473476,0.779908904976533,-2.1604761708006,-3.10137754163767,0.755696541404148,-2.13656812323064,-2.73048038049964,-0.151982077008339,-0.281432423487816,-4.53709097972784,-4.46607351477528,0.779757348543106,-2.17968534285132,-3.42204563880904,5f233d7f53212b0e22bf055d_day1_block2
182,d2r1,0.763198674675279,-1.6296979089992,-2.97914704101247,0.77699735061926,-1.46475995054728,-2.92197797089328,0.761606598530636,-1.43229750791422,-2.80313784263654,-5.26113385977177,-5.13567987698694,-3.57170744296155,-3.53969001435285,0.762887699577195,-1.38847056335147,-2.89425501981305,5f233d7f53212b0e22bf055d_day2_block1
182,d2r2,0.714528565742347,-1.65570859782178,-2.28335766858661,0.704509258547534,-1.79025385860361,-2.08854696200093,0.69285169015176,-1.82315043495236,-2.06537380565253,-5.4199473715099,-5.47439499168584,-4.56037863126968,-4.55235427372263,0.725206902541007,-1.71899841087205,-1.98905131821717,5f233d7f53212b0e22bf055d_day2_block2
